vehicleId,duration_sec,distance_km,avg_speed,max_speed,speed_std,mean_accel,max_accel,accel_std,count_hard_brakes,harsh_accel_count,idling_time,stop_count,day_of_week,hour_of_day
MAT447309M2C03408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-07,0.0,3.0,0.0
MAT447311N2E10122,2e-06,1.3914643612866763e-08,35.35400118351094,58.32954272727273,16.85020259953693,-4180853.1319375145,1043098916.6666666,383182245.29915464,37.0,38.0,8.2e-07,3.0,3.0,0.0
MAT464792PSD04539,2e-06,1.0465960400116708e-08,15.34942521314822,32.78693113636365,11.086436369727425,-33825003.94871018,279122014.5502646,115749378.84879221,14.0,12.0,5.2e-07,3.0,3.0,0.0
MAT464797PSF06260,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0
MAT464797PSF06608,0.0,3.843675236950319e-09,16.104017787888317,46.51260478991594,12.05138639720225,-14636585.932359302,537125303.1521248,276054729.8586737,12.0,10.0,6.000000000000001e-08,2.0,3.0,0.0
MAT464797PSF07204,1e-06,3.8545526473380965e-09,13.838227898095392,39.509999000000015,9.08022736965044,18613184.783155136,757217970.1897023,249129684.5445749,15.0,13.0,2e-08,1.0,3.0,0.0
MAT464797PSG07960,0.0,6.493603378929414e-10,15.885909732475398,29.9034365,11.79864213037671,27033795.369785555,447213543.9814814,230456770.98941925,4.0,4.0,1.7e-07,1.0,3.0,0.0
MAT464797PSG07961,0.0,7.218362482853223e-12,1.593384106562703,2.5986104938271604,1.4216047901247046,27922955.20179048,55845910.40358096,39489021.94790846,0.0,1.0,0.0,0.0,3.0,0.0
MAT464797PSG08013,1e-06,5.243756468480666e-09,15.250578635394778,44.472186916666665,16.94545231779619,-120765698.84072322,438889385.5625893,399011383.22479546,5.0,5.0,7e-07,1.0,3.0,0.0
MAT464800PSF07283,0.0,2.902541606315571e-10,8.6669015504053,19.250624666666667,7.055791701475009,-6336255.33361914,334924558.90804595,250831680.49762046,4.0,3.0,9e-08,1.0,3.0,0.0
MAT464815PSF06106,0.0,1.0822087618406125e-09,13.416267306088868,28.76906216666667,9.477765786103326,-9275224.647942342,125056896.44863799,142513871.61547267,3.0,4.0,2e-08,1.0,3.0,0.0
MAT464815PSF07340,0.0,1.9805374930692376e-09,14.861954827213713,28.424061916666663,10.097411581188462,-39921596.994048566,355169329.52182937,202099245.47589663,10.0,9.0,2e-08,2.0,3.0,0.0
MAT464815PSH08547,0.0,2.9999999999999993e-12,0.08359615384615385,0.2379807692307692,0.11628979086136444,-303685.8974358974,0.0,541624.585871111,2.0,0.0,6.7e-07,0.0,3.0,0.0
MAT464817PSE04957,0.0,1.4661955993060147e-10,1.4329908158317781,3.324312967032967,1.1496497479399246,-9771781.00103355,9040841.136079906,24715659.780919682,3.0,2.0,2e-08,2.0,3.0,0.0
MAT464817PSE04959,1e-06,6.248597432064278e-09,14.163143947372241,33.197498555555576,10.358426805709234,-45933378.41345881,433902235.0427351,275412677.5262039,14.0,16.0,2.2e-07,3.0,3.0,0.0
MAT464817PSE05326,1e-06,4.718085589686411e-09,12.040453258157745,35.08124891666668,11.880487267496742,-16771624.803478964,293972676.9227908,138032370.39464632,17.0,16.0,5e-07,4.0,3.0,0.0
MAT464817PSE05340,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0
MAT505159L5P10172,1e-06,4.499392569985571e-09,15.900262179000894,50.910156,14.51250485687044,2801638.770062367,606261861.1111109,259426615.95069793,16.0,23.0,8.9e-07,2.0,3.0,0.0
